17:30 Saturday, December 08, 2018
wigging		нагоняй, нахлобучка, разнос [ 'wɪgɪŋ ]
outcome		  исход, итог, последствие, результат выход, выпускное отверстие [ 'autkʌm ]
tumultuous		возбуждённый, волнующийся, беспокойный шумный, буйный, бурный [ t(j)uː'mʌlʧuəs ]
lurch		крен склонность, расположенность, тенденция   шаткая походка; пошатывание, шатание идти шатаясь, пошатываться двойная проигранная партия  (в криббидж, триктрак)  [ lɜːʧ ]
veer		менять направление, поворачивать перемена направления veer round   менять направление по часовой стрелке  травить  (канат)   [ vɪə ]
vent		выражение  (чувств) , выход входное или выходное отверстие; отдушина клапан  жерло вулкана дымоход; труба сделать отверстие   выпускать  (наружу)  выражать, высказывать; давать выход; изливать [ vent ] 
offending		проблемный, раздражающий [ ə'fendɪŋ ]
put through		выполнить, закончить  (работу)  соединять   принимать  (закон)   Syn: get through подготовить  []
swerve		отклонение  (от курса)  отклоняться, сворачивать бродить, скитаться (from)   отказываться от  (чего-л.)  [ swɜːv ]
bear down		(up)on)   устремляться; набрасываться, нападать, обрушиваться ;тяготить строго наказывать подходить с наветренной стороны тужиться при родах преодолеть, сломить [ beə ]
disarray		беспорядок; замешательство  приводить в беспорядок, замешательство, раздевать, снимать одежду [ ˌdɪs(ə)'reɪ ]
gaggle		стадо гусей толпа  (обычно шумная)  гоготанье  гоготать  [ 'gægl ]
milling		топтание по кругу   рифлёный гурт монеты помол молотьба; дробление, измельчение трёпка, взбучка [ 'mɪlɪŋ ]
to give smb. a fright		напугать кого-л. []
unworthy		низкий, подлый незаслуженный ничего не стоящий, не имеющий ценности [ ʌn'wɜːðɪ ]
and no mistake, make no mistake		несомненно, бесспорно; непременно, обязательно []
armful		охапка [ 'ɑːmful ]
fizz		шампанское; шипучий напиток шипеть, пениться, проявлять волнение, выказывать радость   свистеть суета, неразбериха [ fɪz ]
bury		  похоронить, предать забвению ; in(to) погружать; скрывать, прятать погружаться; прятаться, скрываться,[ 'berɪ ]
quarry		добыча; преследуемый зверь намеченная жертва   источник сведений рыться  (в чём-л.) ; выискивать, добывать разрабатывать карьер, каменоломня [ 'kwɔrɪ ]
flat out		на максимальной скорости   совершенно, совсем, абсолютно открыто, прямо [ ˌflæt'aut ]
litter		  сорить, мусорить ,разбросанные вещи, беспорядок сор, мусор быть в большом количестве, изобиловать производить детёнышей   палый лист и хворост;приплод, помёт наполнитель для кошачьих туалетов подстилка [ 'lɪtə ]
carry on		продолжать вести  (дело)  флиртовать;иметь любовную связь вести себя запальчиво, грубо;[]
startle		испугать; поразить побуждать  (к) вздрагивать бросаться в сторону, пугаться испуг; страх; [ 'stɑːtl ]
----------------16:34 Friday, March 13, 2020------------------
board up		заколотить досками []
wealth		  богатство, состояние   изобилие, избыток;богатства [ welθ ] 
scamper		бегать, носиться, резво скакать   быстрый бег; пробежка беглое прочтение, быстрый просмотр [ 'skæmpə ]
run for it		мчаться изо всех сил []
put out		расстраивать ,выводить из себя, смущать, причинять неудобство расходовать, тратить   выкалывать  (глаз)  выгонять; удалять, устранять давать побеги вывихнуть тушить, гасить []
averting		предотвращение, предохранение, предупреждение Syn: preventing  [ ə'vɜːtɪŋ ]
pang		  страдания, душевная боль, угрызения совести внезапная острая боль,  причинять острую боль [ pæŋ ]
uncharacteristic		нетипичный, нехарактерный [ ˌʌnkærəkt(ə)'rɪstɪk ]
doggedly		  упрямо, не отходя от выбранного курса не ослабевая [ 'dɔgɪdlɪ ]
immense		безмерный, очень большой, обширный, очень просторный, необъятный;классный, крутой, потрясающий [ ɪ'men(t)s ] 
disquiet		 беспокойство, волнение, смятение, тревога беспокойный, беспокоить, волновать, тревожить [ dɪs'kwaɪət ]
hump		округлая выпуклость бугорок, кочка; горб решающий, критический момент; перелом ситуации; кульминация,тоска, плохое настроение; депрессия горбить, сутулить напрягаться; действовать энергично нагонять тоску; портить настроение взвалить на спину   быстро двигаться, мчаться трахаться [ hʌmp ]
chute		спуск; лоток, жёлоб,мусоропровод сокр. от parachute   стремнина крутой скат покатый настил; горка путь рыб, идущих на нерест [ ʃuːt ]
shack		лачуга, хижина, хибара  временно жить, обитать [ ʃæk ] 
crumble		терпеть крах, разрушаться, гибнуть сыпаться, осыпаться; обваливаться раскрошить, растолочь,[ 'krʌmbl ]
air of		 выражение ,air of dignity  — выражение достоинства air of luxury  — атмосфера роскоши [ eə ]
puddle		  лужа разг. , диал. грязь барахтаться в луже   забрызгивать грязью, пачкать месить  (глину)    мутить  (воду) смущать, [ 'pʌdl ] 
yield		уступать, пропускать вперёд; соглашаться    сдаваться; прекращать сопротивление подаваться, поддаваться платить, расплачиваться, пружинить растягиваться   приносить урожай,плоды, урожай текучесть [ jiːld ]
yield up the ghost		 отдать богу душу, умереть []
sludge		густая грязь; слякоть ил, тина шуга (плавающий лёд) осадок,очищать от грязи давать осадок,идти с трудом, устало тащиться [ slʌʤ ]
lob		зашвырнуть, бросить бежать тяжело, неуклюже высоко подбрасывать высокий мягкий удар; высоко брошенный мяч   густая жидкость [ lɔb ]
mildly		  неостро, некрепко тихо, спокойно; мягко снисходительно, милосердно, сострадательно умеренно [ 'maɪldlɪ ]
apparition		появление, явление  (особенно неожиданное)  видение; привидение, призрак видимость [ ˌæp(ə)'rɪʃ(ə)n ] 
striving		стремление; склонность, цель Syn: aspiration, libido, aspiring, objective, pursuit, tendency [ 'straɪvɪŋ ]
exceedingly		весьма, очень, сильно, чрезвычайно  Syn:  extraordinarily, extremely [ ɪk'siːdɪŋlɪ ], [ ek- ]
lesser		  прил.; сравн. ст. от  little  меньший the lesser of two evils  — меньшее из двух зол малый [ 'lesə ]
lure		соблазн привлекательность, притягательность завлекать, соблазнять приманка [ l(j)uə ] 
gloat		тайно злорадствовать, торжествовать ( over, upon)   пожирать глазами злорадство взгляд полный злорадства [ gləut ]















